Nr,Name,FIDE ID,Born,Birthplace,Died,Title,Federation,Sex,Notes
1144,"Mecking, Henrique",2100010,23.01.1952,Santa Cruz do Sul,,1972,Brazil,M,
78,"Arbakov, Valentin",4100620,28.01.1952,,30.11.2003,1994,Russia,M,
1776,"Tarjan, James",2000180,22.02.1952,"Pomona, California",,1976,United States,M,
390,"Dorfman, Iossif",604011,01.05.1952,Zhytomyr,,1978,Soviet Union,M,;[note 21] currently France
944,"Kristiansen, Jens",1400061,25.05.1952,Copenhagen,,2012,Denmark,M,winner 22nd World Senior Chess Champion­ships
1626,"Sher, Miron",2019574,29.06.1952,Kaliningrad,22.08.2020,1992,United States,M,[obit 36]
883,"Knaak, Rainer",4611250,16.03.1953,Pasewalk,,1975,East Germany,M,currently Germany
1511,"Rogoff, Kenneth",2000237,22.03.1953,"Rochester, New York",,1978,United States,M,
567,"Gofshtein, Leonid",2801574,21.04.1953,,25.12.2015,1993,Israel,M,later Zvulon Gofshtein
1832,"Tunik, Gennady",4101219,27.05.1953,Magadan,,2002,Russia,M,
917,"Kostić, Vladimir G.",901482,20.08.1953,Valjevo,,2005,Serbia and Montenegro,M,title application; currently Serbia
1712,"Stean, Michael F.",400130,04.09.1953,London,,1977,England,M,
1911,"Vul, Arkadi Eremeevich",4104307,11.09.1953,,,2003,Russia,M,title application
1337,"Panchenko, Alexander",4102126,05.10.1953,Chelyabinsk,19.05.2009,1980,Soviet Union,M,later Russia
1395,"Pintér, József",700045,09.11.1953,Budapest,,1982,Hungary,M,
1083,"Makarichev, Sergey",4100468,17.11.1953,Moscow,,1976,Soviet Union,M,currently Russia
1926,"Wedberg, Tom",1700073,26.11.1953,Stockholm,,1990,Sweden,M,[note 103]
521,"García Palermo, Carlos Horacio",110124,02.12.1953,La Plata,,1985,Argentina,M,currently Italy
518,"García González, Guillermo",,09.12.1953,"Santa Clara, Cuba",26.10.1990,1976,Cuba,M,
1378,"Petrosian, Arshak B.",13300288,16.12.1953,Yerevan,,1984,Armenia,M,
166,"Beliavsky, Alexander G.",14602377,17.12.1953,Lviv,,1975,Soviet Union,M,later Ukraine; currently Slovenia
517,"García, Gildardo",4400020,09.03.1954,Medellín,15.01.2021,1992,Colombia,M,[obit 13]
460,"Fernández Garcia, José Luís",2200023,03.05.1954,Portugalete,,1986,Spain,M,
2017,"Zilberman, Yaacov",2801612,26.05.1954,,,1998,Israel,M,
85,"Arkhipov, Sergey",4101146,23.06.1954,Moscow,,1991,Russia,M,
25,"Agzamov, Georgy",,06.09.1954,Almalyk,27.08.1986,1984,Soviet Union,M,
1703,"Spraggett, Kevin",2600013,10.11.1954,Montreal,,1985,Canada,M,
1165,"Mikhalchishin, Adrian",14602385,18.11.1954,Lviv,,1978,Soviet Union,M,later Ukraine; currently Slovenia
1110,"Marjanović, Slavoljub",900354,06.01.1955,Lalinac (Niš),,1978,Yugoslavia,M,currently Serbia
1764,"Székely, Péter",700258,08.02.1955,Budapest,31.08.2003,1994,Hungary,M,
264,"Bykhovsky, Avigdor",4101057,05.03.1955,Moscow,,1993,Russia,M,currently Israel
1002,"Legky, Nikolay A.",14100312,11.04.1955,,,1994,Ukraine,M,currently France
1170,"Miles, Anthony J.",403385,23.04.1955,Edgbaston,12.11.2001,1976,England,M,
1295,"Nunn, John D. M.",400017,25.04.1955,London,,1978,England,M,
1642,"Shvyrjov, Igor",4500490,24.05.1955,Kyiv,,2005,Estonia,M,title application[note 90]
823,"Karlsson, Lars",1700057,11.07.1955,Stockholm,,1982,Sweden,M,
380,"Djurić, Stefan",900133,26.07.1955,Belgrade,,1982,Yugoslavia,M,currently Serbia
1151,"Meister, Jakob",4102541,11.09.1955,Kopeysk,,2008,Germany,M,title application
289,"Chekhov, Valery A.",4100859,27.11.1955,Moscow,,1984,Soviet Union,M,currently Russia
637,"Guseinov, Aidyn",13400169,30.11.1955,,30.10.2003,1998,Azerbaijan,M,
1060,"Lukov, Valentin",2900157,11.12.1955,Pazardzhik,,1988,Bulgaria,M,
1046,"Loginov, Valery A",4126297,13.12.1955,Syzran,,1991,Russia,M,
960,"Kuligowski, Adam",1100092,24.12.1955,Warsaw,,1980,Poland,M,
806,"Kalinitschew, Sergey",4637321,03.02.1956,Moscow,,1997,Germany,M,
616,"Gruenfeld, Yehuda",2800020,28.02.1956,Dzierżoniów,,1980,Israel,M,
1856,"Van der Sterren, Paul",1000071,17.03.1956,Venlo,,1989,Netherlands,M,
887,"Kochyev, Alexander",4100719,25.03.1956,Leningrad,,1977,Soviet Union,M,currently Russia
1093,"Malinin, Vasily B.",4140249,26.04.1956,Petrozavodsk,22.11.2020,2003,Russia,M,[obit 27]
757,"Ivanov, Alexander",2000202,01.05.1956,Novovarshavka,,1991,United States,M,
492,"Franco Ocampos, Zenón",2209381,12.05.1956,Asunción,,1990,Spain,M,currently Paraguay
742,"Inkiov, Ventzislav",2900033,19.05.1956,Stanke Dimitrov,,1982,Bulgaria,M,
302,"Christiansen, Larry",2000059,27.06.1956,"Riverside, California",,1977,United States,M,
1306,"Ólafsson, Helgi",2300010,15.08.1956,Reykjavík,,1985,Iceland,M,
1329,"Pähtz, Thomas",4611349,04.09.1956,Erfurt,,1990,Germany,M,[note 76]
1503,"Rodríguez Céspedes, Amador",3500039,08.09.1956,"San Germán, Cuba",,1977,Spain,M,
632,"Gurevich, Dmitry",2000407,11.09.1956,Moscow,,1983,United States,M,
1071,"Machulsky, Anatoly",4100417,24.09.1956,Bezhetsk,17.02.2017,1991,Russia,M,
1700,"Speelman, Jon S.",400033,02.10.1956,London,,1980,England,M,
877,"Klarić, Zlatko",14500248,24.10.1956,Borovo,,1983,Yugoslavia,M,currently Croatia
874,"Kishnev, Sergey",4100751,01.11.1956,,,1996,Russia,M,
421,"Eingorn, Vereslav S.",14100053,23.11.1956,Odesa,,1986,Soviet Union,M,;[note 24] currently Ukraine
682,"Henley, Ron",2000318,05.12.1956,Houston,,1982,United States,M,
702,"Høi, Carsten",1400100,16.01.1957,Copenhagen,,2001,Denmark,M,
1890,"Vladimirov, Yevgeniy",13700014,20.01.1957,Alma Ata,,1989,Soviet Union,M,currently Kazakhstan
149,"Barlov, Dragan",900214,30.01.1957,Kragujevac,,1986,Yugoslavia,M,currently Serbia
1982,"Zaichik, Gennadi",13600109,11.02.1957,Tbilisi,,1984,Soviet Union,M,later Georgia; currently United States
1156,"Mestel, A. Jonathan",400122,13.03.1957,Cambridge,,1982,England,M,
1868,"Vaulin, Alexander",4101634,18.03.1957,,2008,1994,Russia,M,
60,"Anić, Darko",602612,30.04.1957,Zadar,,1999,France,M,FIDE Golden Book; Di Felice[note 6]
1746,"Sunye Neto, Jaime",2100037,02.05.1957,Curitiba,,1986,Brazil,M,
1593,"Schüssler, Harry",1700081,24.06.1957,Malmö,,1988,Sweden,M,
268,"Cámpora, Daniel H.",100013,30.06.1957,San Nicolás de los Arroyos,,1986,Argentina,M,
1090,"Malaniuk, Vladimir",14100177,21.07.1957,Arkhangelsk,02.07.2017,1987,Soviet Union,M,later Ukraine
353,"De Firmian, Nick",2000105,26.07.1957,Fresno,,1985,United States,M,
528,"Gavrikov, Viktor",12801747,29.07.1957,Criuleni,27.04.2016,1984,Soviet Union,M,"later Lithuania, Switzerland"
497,"Ftáčnik, Ľubomír",14900017,30.10.1957,Bratislava,,1980,Slovakia,M,
306,"Cifuentes Parada, Roberto",2253488,21.12.1957,Santiago,,1991,Netherlands,M,currently Spain
1054,"Lputian, Smbat G.",13300024,14.02.1958,Yerevan,,1984,Soviet Union,M,currently Armenia
673,"Hebden, Mark L.",400084,15.02.1958,Leicester,,1992,England,M,
577,"Gomez Esteban, Juan Mario",2200163,15.02.1958,Santurce,,2004,Spain,M,title application[note 36]
1659,"Skembris, Spyridon",4200020,22.02.1958,"Mandouki, Corfu",,1990,Greece,M,
923,"Kouatly, Bachar",600032,03.03.1958,Damascus,,1989,France,M,
377,"Dizdarević, Emir",14400049,02.04.1958,Zenica,,1988,Yugoslavia,M,later Croatia; currently Bosnia and Herzegovina
1074,"Magerramov, Elmar",13400142,10.04.1958,Baku,,1992,Azerbaijan,M,[note 63]
1965,"Yermolinsky, Alex",2005492,11.04.1958,Leningrad,,1992,United States,M,
1640,"Shtyrenkov, Veniamen",4103351,23.04.1958,,,1999,Russia,M,
542,"Georgiev, Krum",2900092,24.05.1958,Pazardzhik,,1988,Bulgaria,M,
1128,"Mateo, Ramon",6400019,23.06.1958,Santo Domingo,,2008,Dominican Republic,M,title application
357,"De La Villa Garcia, Jesús Maria",2200040,30.06.1958,Villahán,,1999,Spain,M,
267,"Čabrilo, Goran",900249,01.07.1958,Goražde,,1995,Yugoslavia (S&M),M,currently Serbia
388,"Donchev, Dimitar I.",2900025,21.07.1958,Shumen,,1990,Bulgaria,M,
913,"Kosten, Anthony C.",400114,24.07.1958,London,,1990,England,M,later France
1993,"Zapata, Alonso",4400011,22.08.1958,Pereira,,1984,Colombia,M,
1801,"Tisdall, Jonathan D.",1500066,26.08.1958,Buffalo,,1993,Norway,M,[note 99]
1665,"Smagin, Sergey",4100425,08.09.1958,Norilsk,,1987,Soviet Union,M,currently Russia
743,"Ionescu, Constantin",1200089,12.09.1958,Brașov,,1998,Romania,M,
454,"Fedorowicz, John",2000083,27.09.1958,New York City,,1986,United States,M,
197,"Bistrić, Faruk",14400294,01.10.1958,Sarajevo,,2003,Bosnia and Herzegovina,M,title application
223,"Bönsch, Uwe",4611268,15.10.1958,Halle (Saale),,1986,West Germany,M,currently Germany
409,"Dvoirys, Semen I.",4100379,02.11.1958,Zhmerynka,,1990,Russia,M,
1020,"Levin, Felix",4650905,05.11.1958,Lviv,,1998,Germany,M,
1498,"Ristic, Nenad",901318,19.11.1958,Kragujevac,,1997,Yugoslavia (S&M),M,currently Serbia
1444,"Psakhis, Lev",2800012,29.11.1958,Kalinin,,1982,Soviet Union,M,currently Israel
376,"Dizdar, Goran",14500124,04.12.1958,Zagreb,,1991,Yugoslavia,M,currently Croatia
1894,"Vokáč, Marek",300101,06.12.1958,Prague,14.11.2021,1999,Czech Republic,M,[obit 47]
2014,"Ziatdinov, Raset",2015323,27.12.1958,,,2005,United States,M,title application
791,"Johansen, Darryl K.",3200035,04.02.1959,Melbourne,,1995,Australia,M,
1196,"Mokry, Karel",306070,07.02.1959,Prostějov,,1984,Czecho­slovakia,M,currently Czech Republic
479,"Flear, Glenn C.",400165,12.02.1959,Leicester,,1987,England,M,
1420,"Popović, Petar",900109,14.02.1959,Orlovat,,1981,Yugoslavia,M,currently Serbia
384,"Dolmatov, Sergey",4100093,20.02.1959,Kiselyovsk,,1982,Soviet Union,M,currently Russia
807,"Kállai, Gábor",700282,21.02.1959,Budapest,31.12.2021,1995,Hungary,M,[obit 16]
634,"Gurevich, Mikhail",200930,22.02.1959,Kharkiv,,1986,Soviet Union,M,later Turkey; currently Belgium
269,"Campos Moreno, Javier B.",3400034,06.03.1959,Santiago,,2005,Chile,M,title application
856,"Kharitonov, Andrei",4100948,04.04.1959,Moscow,13.01.2012,1993,Russia,M,
847,"Ķeņģis, Edvīns",11600039,12.04.1959,Cēsis,,1991,Latvia,M,
1977,"Yurtaev, Leonid",13800019,01.05.1959,Frunze,02.06.2011,1996,Kyrgyzstan,M,
1405,"Pogorelov, Ruslan",14100363,07.06.1959,,,1998,Ukraine,M,
1735,"Sturua, Zurab",13600095,08.06.1959,Tbilisi,,1991,Georgia,M,
488,"Fominyh, Alexander",4100590,15.06.1959,Novosibirsk,,1993,Russia,M,
1281,"Nikolenko, Oleg",4101880,19.06.1959,Moscow,,2008,Russia,M,title application
1287,"Nogueiras Santiago, Jesús",3500020,17.07.1959,Remedios,,1979,Cuba,M,
1655,"Sisniega Campbell, Marcel",5100020,28.07.1959,Chicago,19.01.2013,1992,Mexico,M,Gaige[obit 38]
635,"Gurevich, Vladimir",14100207,04.08.1959,,,1998,Ukraine,M,
1974,"Yudasin, Leonid",2802341,08.08.1959,Leningrad,,1990,Soviet Union,M,FIDE Golden Book; currently Israel
1858,"Van der Wiel, John T. H.",1000020,09.08.1959,Leiden,,1982,Netherlands,M,
1788,"Thipsay, Praveen M",5000033,12.08.1959,Mumbai,,1997,India,M,
1514,"Rohde, Michael",2000172,26.08.1959,New York City,,1988,United States,M,
958,"Kudrin, Sergey",2000164,07.09.1959,Novosibirsk,,1984,United States,M,
804,"Kaidanov, Gregory",2008564,11.10.1959,Berdychiv,,1988,Soviet Union,M,later Ukraine; currently United States
989,"Lau, Ralf",4600134,19.10.1959,Delmenhorst,,1986,West Germany,M,currently Germany
1970,"Yrjölä, Jouni",500011,24.10.1959,Vilppula,,1990,Finland,M,
869,"Kindermann, Stefan",4600053,28.12.1959,Vienna,,1988,West Germany,M,later Germany; currently Austria
800,"Jussupow, Artur",4618777,13.02.1960,Moscow,,1980,Soviet Union,M,previously Artur Yusupov; currently Germany
1386,"Pétursson, Margeir",2300028,15.02.1960,Reykjavík,,1986,Iceland,M,
778,"Janovsky, Sergey",4102711,17.02.1960,,,1995,Russia,M,
294,"Chernin, Alexander",715620,06.03.1960,Kharkiv,,1985,Soviet Union,M,currently Hungary
1319,"Ortega, Lexy",811416,08.03.1960,Camagüey,,2001,Italy,M,
112,"Azmaipara­shvili, Zurab",13601326,16.03.1960,Tbilisi,,1988,Soviet Union,M,currently Georgia
1401,"Plaskett, H. James",400238,18.03.1960,Dhekelia Cantonment,,1985,England,M,
64,"Annageldyev, Orazly",14000016,20.03.1960,Bezmein,,2005,Turkmenistan,M,title application
1599,"Seirawan, Yasser",2000032,24.03.1960,Damascus,,1980,United States,M,
283,"Chandler, Murray G.",400050,04.04.1960,Wellington,,1983,New Zealand,M,later England; currently New Zealand
894,"Komliakov, Viktor",13900030,25.04.1960,,,1995,Moldova,M,
1044,"Lobron, Eric",4600037,07.05.1960,Philadelphia,,1982,Germany,M,
1590,"Schmittdiel, Eckhard",4600096,13.05.1960,Dortmund,,1994,Germany,M,
985,"Lanka, Zigurds",11600047,21.05.1960,Baldone,,1992,Latvia,M,
1028,Liang Jinrong,8600066,21.05.1960,Guangdong,,1998,China,M,
614,"Groszpeter, Attila",700053,09.06.1960,Hódmező­vásárhely,,1986,Hungary,M,
1815,"Tošić, Miroslav",900460,15.06.1960,Svrljig,24.11.2019,1998,Yugoslavia (S&M),M,later Serbia[obit 44]
1509,"Rogers, Ian",3200019,24.06.1960,Hobart,,1985,Australia,M,
1499,"Rivas Pastor, Manuel",2200058,13.07.1960,Jaén,,1987,Spain,M,
348,"Davies, Nigel R",404420,31.07.1960,Southport,,1993,England,M,later Wales and England
438,"Ernst, Thomas",1700065,17.08.1960,Uppsala,,1990,Sweden,M,
653,"Handoko, Edhi",7100043,28.08.1960,Surakarta,17.02.2009,1994,Indonesia,M,
1282,"Nikolić, Predrag",14400014,11.09.1960,Šamac,,1983,Yugoslavia,M,currently Bosnia and Herzegovina
1569,"Santo-Roman, Marc",600083,13.09.1960,Toulouse,,1996,France,M,
419,"Efimov, Igor",806404,16.09.1960,Tbilisi,,1992,Georgia,M,later Italy; currently Monaco
99,"Aseev, Konstantin",4100247,20.10.1960,Novokuznetsk,22.08.2004,1992,Russia,M,
530,"Gavrilov, Alexei",4104358,20.10.1960,Moscow,,2010,Russia,M,title application
86,"Árnason, Jón L.",2300036,13.11.1960,Reykjavík,,1986,Iceland,M,
1961,Ye Jiangchuan,8600040,20.11.1960,Shanxi,,1993,China,M,
1913,"Vyzmanavin, Alexey",4100190,04.12.1960,Moscow,06.01.2000,1989,Russia,M,
1210,"Moskalenko, Viktor",14100100,04.12.1960,Odesa,,1992,Ukraine,M,currently Spain
1877,"Vera González-Quevedo, Reynaldo",3500055,07.01.1961,Unión de Reyes,,1988,Cuba,M,
84,"Arkell, Keith C.",400270,08.01.1961,Birmingham,,1995,England,M,
298,"Chiburdanidze, Maia",13600036,17.01.1961,Kutaisi,,1984,Soviet Union,F,currently Georgia
1206,"Moroz, Alexander",14100509,18.01.1961,Dniepro­petrovsk,17.01.2009,1999,Ukraine,M,
1141,"McNab, Colin A.",2400030,03.02.1961,Dundee,,1992,Scotland,M,
29,"Åkesson, Ralf",1700120,08.02.1961,Oxelösund,,1995,Sweden,M,
1390,"Pigusov, Evgeny",4100514,31.03.1961,Kemerovo,,1987,Russia,M,
458,"Ferčec, Nenad",14500299,12.04.1961,Pula,,2007,Croatia,M,title application
1523,"Rotstein, Arkadij",4662997,29.04.1961,Lviv,,1994,Ukraine,M,currently Germany
98,"Asanov, Bolat",13700049,07.05.1961,Alma-Ata,,1994,Kazakhstan,M,
1729,"Striković, Aleksa",900150,12.05.1961,Skopje,,1996,Yugoslavia (S&M),M,currently Serbia
195,"Bischoff, Klaus",4600045,09.06.1961,Ulm,,1990,West Germany,M,currently Germany
334,"Damljanović, Branko",900125,17.06.1961,Futog,,1989,Yugoslavia,M,currently Serbia
765,"Izeta Txabarri, Félix",2200260,03.08.1961,Zestoa,,1994,Spain,M,currently Senegal
1780,"Temirbayev, Serikbay",13700022,08.08.1961,,,1995,Kazakhstan,M,
142,"Barbero, Gerardo",100048,21.08.1961,Lanús,04.03.2001,1987,Argentina,M,
761,"Ivanov, Sergey",4101375,29.09.1961,Leningrad,,1995,Russia,M,
325,"Cvitan, Ognjen",14500086,10.10.1961,Šibenik,,1987,Yugoslavia,M,currently Croatia
1460,"Raetsky, Alexander",4103203,17.10.1961,Voronezh,,2005,Russia,M,title application
563,"Glek, Igor",4100484,07.11.1961,Moscow,,1990,Soviet Union,M,"later Germany and Russia, currently Belgium"
928,"Kovalev, Andrei",13500023,07.11.1961,Vitebsk,,1992,Belarus,M,
1353,"Paunović, Dragan",900516,08.11.1961,Belgrade (Zemun),19.05.2016,2007,Serbia,M,title application
155,"Barus, Cerdas",7100094,01.01.1962,Kabanjahe,,2003,Indonesia,M,
1223,"Muratović, Alija",921661,05.01.1962,Novi Pazar,,2009,Serbia,M,title application
744,"Ionov, Sergey",4100875,07.01.1962,,,1996,Russia,M,
968,"Kutirov, Rolando",15000010,23.01.1962,,,1996,North Macedonia,M,
73,"Antunes, António",1900013,06.02.1962,Lisbon,,1994,Portugal,M,
71,"Antonio, Rogelio Jr.",5200032,19.02.1962,,,1993,Philippines,M,
1493,"Ricardi, Pablo",100242,25.02.1962,Buenos Aires,,1997,Argentina,M,
1437,"Prié, Éric",600172,14.03.1962,Paris,,1995,France,M,
908,"Kosanović, Goran A.",901466,16.03.1962,Belgrade (Zemun),,1998,Yugoslavia (S&M),M,currently Serbia
1058,"Liutsko, Igor",13500716,06.04.1962,Minsk,,2004,Belarus,M,
724,"Huzman, Alexander",2803828,10.04.1962,Zhytomyr,,1991,Israel,M,
820,"Kantsler, Boris",2805359,16.04.1962,Frunze,,1999,Israel,M,
1925,"Watson, William N.",400157,18.04.1962,Baghdad,,1990,England,M,
1635,"Shneider, Aleksandr",14100045,22.05.1962,Luhansk,,1990,Ukraine,M,
1034,"Lima, Darcy",2100045,22.05.1962,Rio de Janeiro,,1997,Brazil,M,
1292,"Novikov, Igor",14100037,23.05.1962,Kharkov,,1990,Ukraine,M,currently United States
1211,"Motwani, Paul",2400022,13.06.1962,Glasgow,,1992,Scotland,M,
973,"Kveinys, Aloyzas",12800040,09.07.1962,Vilnius,26.07.2018,1992,Lithuania,M,[obit 23]
1934,"Wilder, Michael",2000130,17.08.1962,Philadelphia,,1988,United States,M,
599,"Graf, Alexander",4680804,25.08.1962,Tashkent,,1992,Uzbekistan,M,born Alexander Nenashev; currently Germany
1063,"Lupu, Mircea-Sergiu",621501,28.08.1962,Negrești,,1995,Romania,M,;[note 62] currently France
1948,Xu Jun,8600031,17.09.1962,Suzhou,,1994,China,M,
1800,"Tischbierek, Raj",4611322,24.09.1962,Leipzig,,1990,Germany,M,
249,"Brynell, Stellan",1700219,28.09.1962,,,2001,Sweden,M,
420,"Ehlvest, Jaan",4500016,14.10.1962,Tallinn,,1987,Soviet Union,M,later Estonia; currently United States
459,"Fernandes, António",1900021,18.10.1962,Pampilhosa da Serra,,2003,Portugal,M,
1557,"Saltaev, Mihail",14200058,19.11.1962,,,1995,Uzbekistan,M,
168,"Belkhodja, Slim",600229,23.11.1962,,,2002,Tunisia,M,
897,"Koniushkov, Igor",4121376,29.11.1962,,,1998,Russia,M,
1954,"Yakovich, Yuri",4100654,30.11.1962,Kuybyshev,,1990,Russia,M,
395,"Draško, Milan",900397,06.12.1962,Čapljina,,1993,Yugoslavia (S&M),M,currently Montenegro
1739,"Šulava, Nenad",14500205,25.12.1962,Osijek,05.09.2019,2000,Croatia,M,;[obit 41] later Monaco
1936,"Winants, Luc",200018,01.01.1963,Brussels,07.02.2023,1998,Belgium,M,[obit 48]
1216,"Movsziszian, Karen",13301152,06.01.1963,Yerevan,,1994,Armenia,M,
1939,"Wojtkiewicz, Aleksander",1100025,15.01.1963,Riga,14.07.2006,1990,Poland,M,later United States
1228,"Muše, Mladen",4600304,20.01.1963,Bjelovar,,2001,Germany,M,currently Croatia
429,"Enders, Peter",4611314,02.02.1963,,,1997,Germany,M,
697,"Hjartarson, Jóhann",2300044,08.02.1963,Reykjavík,,1985,Iceland,M,
1956,"Yandemirov, Valeri",4102622,11.02.1963,Kazan,16.11.2017,1997,Russia,M,[obit 49]
970,"Kuzmin, Alexey",4100794,08.03.1963,,,1995,Russia,M,
1681,"Sokolov, Andrei",627089,20.03.1963,Vorkuta,,1984,Soviet Union,M,currently France
562,"Gleizerov, Evgeny",4101332,20.03.1963,Chelyabinsk,,1993,Russia,M,
1205,"Morovic Fernández, Iván",3405400,24.03.1963,Viña del Mar,,1986,Chile,M,
831,"Kasparov, Garry",4100018,13.04.1963,Baku,,1980,Soviet Union,M,currently Russia
318,"Cramling, Pia",1700030,23.04.1963,Stockholm,,1992,Sweden,F,
1085,"Makarov, Marat",4101103,07.05.1963,,,1993,Russia,M,
1079,"Mainka, Romuald",4600258,15.05.1963,Gliwice,,1993,Germany,M,
1807,"Todorović, Goran M.",900168,17.05.1963,,,1997,Yugoslavia (S&M),M,currently Serbia
1528,"Rozentalis, Eduardas",12800023,27.05.1963,Vilnius,,1991,Lithuania,M,
1021,"Levitt, Jonathan P.",400220,03.06.1963,London,,1990,England,M,
2021,"Zlochevsky, Aleksandr",811424,25.06.1963,Moscow,,1994,Russia,M,later Italy; currently Russia
1988,"Zakharevich, Igor",4107969,14.07.1963,,10.08.2008,2000,Russia,M,
699,"Hodgson, Julian M.",400076,25.07.1963,London,,1988,England,M,[note 45]
1888,"Visser, Yge",1000578,29.07.1963,Sneek,,2006,Netherlands,M,
1094,"Mališauskas, Vidmantas",12800031,04.08.1963,,,1993,Lithuania,M,
870,"King, Daniel J.",400068,28.08.1963,Beckenham,,1989,England,M,
690,"Hertneck, Gerald",4600088,18.09.1963,Munich,,1991,Germany,M,
1942,Wong Meng Kong,5800030,18.09.1963,Singapore,,1999,Singapore,M,
1232,"Nadyrkhanov, Sergey",4135830,28.09.1963,,,1999,Russia,M,
1962,Ye Rongguang,8600015,03.10.1963,Wenzhou,,1990,China,M,
1996,Zaw Win Lay,13000098,22.10.1963,Mandalay,03.10.2014,2000,Myanmar,M,
1173,"Milos, Gilberto",2100029,30.10.1963,São Paulo,,1988,Brazil,M,
940,"Krasenkow, Michał",1113100,14.11.1963,Moscow,,1989,Soviet Union,M,formerly Mikhail Krasenkov; later Russia; currently Poland
527,"Gausel, Einar J.",1500031,30.11.1963,,,1995,Norway,M,
1851,"Vakhidov, Tair",14200155,11.12.1963,Samarkand,,2009,Uzbekistan,M,title application
1357,"Pavlović, Miloš",900389,05.01.1964,Belgrade,,1993,Yugoslavia (S&M),M,currently Serbia
768,"Jacimović, Dragoljub",15000214,10.01.1964,,,2001,North Macedonia,M,
1709,"Stanojoski, Zvonko",15000257,29.01.1964,Prilep,,2004,North Macedonia,M,
676,"Hector, Jonny",1700090,13.02.1964,Malmö,,1991,Sweden,M,
570,"Goldin, Alexander",2019540,27.02.1964,Novosibirsk,,1989,Soviet Union,M,"later Russia, Israel; currently United States"
980,"Lalić, Bogdan",409081,08.03.1964,Zagreb,,1988,Yugoslavia,M,later England; currently Croatia
175,"Benjamin, Joel",2000091,11.03.1964,New York City,,1986,United States,M,
603,"Greenfeld, Alon",2800039,17.04.1964,New York City,,1989,Israel,M,
1603,"Sergeev, Vladimir",14101076,01.05.1964,Kyiv,,2007,Ukraine,M,title application
511,"Gallagher, Joseph G.",1303422,04.05.1964,London,,1990,Switzerland,M,
1900,"Volosin, Leon",311111,10.05.1964,Kazan,,2003,Czech Republic,M,
1556,"Salov, Valery",4100069,26.05.1964,Wrocław,,1986,Soviet Union,M,currently Russia
994,"Lazarev, Vladimir",4113250,05.06.1964,Saratov,,2000,Russia,M,currently France
1530,"Ruban, Vadim",4100387,13.06.1964,Novosibirsk,,1991,Russia,M,[note 85]
1262,"Neverov, Valeriy",14100150,21.06.1964,Kharkiv,,1991,Ukraine,M,
950,"Kruppa, Yuri",14100142,21.06.1964,,,1995,Ukraine,M,
179,"Berdichevski, Igor",4105249,15.07.1964,Moscow,,1996,Russia,M,
54,"Anastasian, Ashot",13300059,16.07.1964,Yerevan,26.12.2016,1993,Armenia,M,[obit 3]
1893,"Voitsekhovsky, Stanislav",4113470,06.08.1964,,,1999,Russia,M,
710,"Horvath, Jozsef",700061,13.08.1964,Budapest,,1990,Hungary,M,
921,"Kotronias, Vasilios",5900212,25.08.1964,Athens,,1990,Greece,M,later Cyprus; currently Greece
1321,"Ostenstad, Berge",1500058,15.09.1964,Asker,,2003,Norway,M,
654,"Hansen, Curt",1400010,18.09.1964,Bov Municipality,,1985,Denmark,M,
1808,"Tolnai, Tibor",700126,23.09.1964,Hódmező­vásárhely,,1990,Hungary,M,
1723,"Štohl, Igor",14900025,27.09.1964,Bratislava,,1992,Slovakia,M,
555,"Giorgadze, Giorgi",13600044,10.10.1964,,,1993,Georgia,M,
106,"Atalık, Suat",14401487,10.10.1964,Istanbul,,1994,Turkey,M,later Bosnia and Herzegovina; currently Serbia
1398,"Piskov, Yury",4101731,17.10.1964,Moscow,,1993,Russia,M,
383,"Dokhoian, Yury",4100476,26.10.1964,Zyryanovka,01.07.2021,1988,Soviet Union,M,later Russia[obit 10]
386,"Domogaev, Sergey",24103608,07.11.1964,Kireyevsk,,2012,Russia,M,title application
1415,"Popchev, Milko",2900165,11.11.1964,Plovdiv,,1998,Bulgaria,M,
121,"Bagaturov, Giorgi",13600133,28.11.1964,,,1999,Georgia,M,
1488,"Renet, Olivier",600040,21.12.1964,Paris,,1990,France,M,
213,"Bogdanovski, Vlatko",15000206,31.12.1964,,,1993,North Macedonia,M,
644,"Hába, Petr",300160,06.01.1965,Zlín,,1997,Czech Republic,M,
507,"Galdunts, Sergey",13300067,17.01.1965,Baku,,2003,Armenia,M,
758,"Ivanov, Alexander A.",4126360,19.01.1965,Arkhangelsk,,2008,Russia,M,title application
1192,"Mohr, Georg",14600013,02.02.1965,Maribor,,1997,Slovenia,M,
1512,"Rogovski, Vladimir",14101378,07.02.1965,,,2005,Ukraine,M,title application
1276,"Nikčević, Nebojša",901776,20.02.1965,,,1997,Yugoslavia (S&M),M,currently Montenegro
1915,"Wahyuwidayat, Utut Adianto",7100019,16.03.1965,Jakarta,,1986,Indonesia,M,commonly Utut Adianto
1981,"Zagrebelny, Sergey",14200040,09.04.1965,,,1993,Uzbekistan,M,
694,"Hickl, Jörg",4600118,16.04.1965,Wiesbaden,,1988,Germany,M,
1928,"Wells, Peter K.",400327,17.04.1965,Portsmouth,,1994,England,M,
1584,"Schandorff, Lars",1400070,20.04.1965,Copenhagen,,1996,Denmark,M,
1107,"Marin, Mihail",1200020,21.04.1965,Bucharest,,1993,Romania,M,
